species,n_points,n_individuals,start_time,end_time
Anser albifrons,81377,63,2006-03-21 17:00:00,2014-10-25 08:30:44
Anser anser,171335,30,2018-06-22 10:15:49,2026-04-29 09:32:18
Anthropoides virgo,22549,13,2018-08-09 02:56:49,2025-03-27 12:23:01
Aquila chrysaetos,23650,33,1999-10-02 12:25:00,2009-10-17 07:29:36
Buteo rufinus,128411,13,2011-05-07 10:36:23,2015-03-25 11:29:51
Circaetus gallicus,230532,11,2011-04-30 12:00:01,2014-06-01 10:30:00
Fulmarus glacialis,5383,19,2001-06-17 18:57:04,2006-10-15 01:26:57
Limosa lapponica,17504,55,2005-06-02 22:07:45,2010-10-02 04:46:43
Numenius phaeopus,39474,31,2006-06-28 04:54:32,2015-08-01 23:38:27
Pandion haliaetus,44756,97,1995-08-21 13:21:07,2002-11-25 14:35:01
Somateria spectabilis,31273,145,2002-06-12 13:50:00,2010-10-31 12:36:23
